Title;Abstract;Relevance
"bicycle infrastructure and traffic
congestion: evidence from dc's capital
bikeshare";"This study explores the impact of bicycle-sharing infrastructure on urban transportation. We estimate a causal effect of the Capital Bikeshare on traffic congestion in the metropolitan Washington, D.C., area. We exploit a unique traffic dataset that is finely defined on a spatial and temporal scale. Our approach examines within-city commuting decisions as opposed to traffic patterns on major thruways. Empirical results suggest that the availability of a bikeshare reduces traffic congestion upwards of 4% within a neighborhood. In addition, we estimate heterogeneous treatment effects using panel quantile regression. Results indicate that the congestion-reducing impact of bikeshares is concentrated in highly congested areas.
";1
bicycle tracks and lanes: a before-and-after study;"This paper presents a before-after crash, injury and traffic study of constructing bicycle tracks and marking bicycle lanes in Copenhagen, Denmark. Corrections factors for changes in traffic volumes and crash/injury trends are included using a general comparison group in this non-experimental observational study. Analysis of long-term crash trends points towards no significant abnormal crash counts in the before period. The safety effects of bicycle tracks in urban areas are an increase of about 10 percent in both crashes and injuries. The safety effects of bicycle lanes in urban areas are an increase of 5 percent in crashes and 15 percent in injuries. Bicyclists’ safety has worsened on roads, where bicycle facilities have been implemented. Design of bicycle facilities and parking conditions for motor vehicles clearly seems to have safety implications, especially at intersections. The study has revealed a few points in relation to this. Construction of bicycle tracks resulted in a 20 percent increase in bicycle/moped traffic mileage and a decrease of 10 percent in motor vehicle traffic mileage, whereas marking of bicycle lanes resulted in a 5 percent increase in bicycle/moped traffic mileage and a decrease of 1 percent in motor vehicle traffic mileage. The changes in traffic do result in health benefits due to more physical activity, less air pollution and less traffic noise. The positive benefits may well be much higher than the negative consequences caused by new safety problems.
";1
"when cycle paths are not enough:
seville’s bicycle-pt project";"The city of Seville (Spain) has been named the fourth most “bicycle-friendly city” in the world, mainly due to the building of a segregated network of bicycle paths which, in a few years, substantially increased utilitarian cycling in the city. However, recent bicycle counts along the network have shown that the volume of cycling is now levelling off at around 6% of the city’s mobility (9% of all mechanised trips); a meaningful level but still far from the figures that are usual in leading cycling cities. This stagnation suggests that new actions are needed in order to further develop urban cycling and overcome bottlenecks that prevent its growth, perhaps by integrating cycling policies into wider sustainable mobility and traffic calming policies. Among these actions, improving links between bicycles and public transport (PT) could play a significant role. This is the subject of the Bicycle-PT research project that is currently being developed by the authors at the University of Seville and founded by the Regional Government. The main aim of this project is to diagnose present links and to evaluate the potential market for bicycle-PT intermodality in the entire metropolitan area, as well as to make specific proposals for its development. For this purpose, the authors use a geographic information system (GIS) based methodology, combined with information provided by mobility and opinion surveys.
";1
"social ecological intervention to promote
active commuting to work";"Active commuting to work (ACW) is beneficial to traffic, environment and population health. More evidence is needed on effective ways to promote ACW. This paper describes the protocol and baseline findings of a cluster-randomized controlled study, which aims to promote ACW with multilevel strategies in two large workplace areas in Tampere, Finland. In Phase 1, the impacts of environmental strategies (trail improvements) were evaluated in 11 workplaces within Area 1. In Phase 2, five more workplaces were recruited from Area 2 to evaluate the impacts of social and behavioral strategies customized for each workplace. For this purpose, the workplaces in both areas were randomly assigned into experimental group (EXP, n = 6 + 2), which promoted ACW with social and behavioral strategies or into comparison group (COM, n = 5 + 3), which participated in the data collection only. The primary indicator in both phases is the change in employees’ ACW. Secondary indicators are e.g., changes in employees’ self-rated health, wellbeing at work, restrictions to and motivation for ACW, adverse effects due to ACW and the use and quality of the main walking and cycling trails. Also process, efficiency and environmental evaluation is included. The study is the first one in Finland to combine interdisciplinary collaboration between practitioners and researchers working in the fields of transportation, urban design, physical activity and sustainable development to promote ACW. The findings benefit all stakeholders interested in promoting ACW in urban context.
";1
"interventions to promote walking:
systematic review";The most successful interventions could increase walking among targeted participants by up to 30-60 minutes a week on average, at least in the short term. From a perspective of improving population health, much of the research currently provides evidence of efficacy rather than effectiveness. Nevertheless, interventions to promote walking could contribute substantially towards increasing the activity levels of the most sedentary.;1
"study of strategies to promote cycling in
four latin american cities: the results
from bogota, rosario, mexico city, and
rio de janeiro";"The Inter-American Development Bank (IDB), as part of its commitment to the development of sustainable cities in Latin America, has supported the development of a platform to promote cycling in the continent. As part of the platform’s development framework, four cities (Bogotá, Mexico City, Rosario, and Rio de Janeiro) were studied and compared in terms of their abilities to promote cycling. This paper uses a comparative methodology to assess the promotion of cycling and presents the results from the four cities. The fundamental criteria on which the comparisons were based were demand, infrastructure, regulations, and promotion of cycling. On the whole, the authors found positive aspects in terms of the increase in both the size of the bikeway network and demand from cyclists. This was particularly the case in Bogotá, where the increase in cycling has led to the city having the most extensive bikeways in the region. In the region, multimodality bicycle programs have also become common, as have the implementation of specific informative campaigns in each city. However, the comparisons that the authors undertook showed the need to improve road regulations. The authors also found that in the four cities the advertising campaigns do not paint the cyclist as vulnerable, and they also do not portray the responsibility of drivers as something fundamental in preventing fatalities. Lastly, this study found there to be a need to define strategies to gather suitable information that demonstrates regulatory actions as well as the promotion of management and development indicators.

";1
"cycling trends & policies in canadian
cities";"Bicycling accounted for an average of 1.2% of work trips in Canada in 2001, but with considerable variation by province and metropolitan area. In this study, we chose six Canadian cities for detailed analysis of their cycling trends and policies: Montreal and Quebec City in Quebec; Ottawa and Toronto in Ontario; and Vancouver and Victoria in British Columbia. All of these cities have made impressive efforts to encourage more and safer cycling. Most of the cities report increases in cycling levels over the past two decades but appear to have reached a limit due to lack of funding for crucially needed cycling infrastructure (bike paths and lanes, parking, intersection modifications, etc.). In addition, the low-density, car-oriented suburban sprawl spreading around most Canadian cities has been increasing trip distances, thus making cycling decreasingly feasible outside the urban core. Finally, Canadian cities and provinces have not imposed any significant restrictions on car use or imposed increases in taxes, fees, and other charges for car use, such as most European cities have implemented to discourage driving and increase transit use, walking, and cycling. If Canadian cities really want to further increase cycling levels, they will have to further expand cycling infrastructure, curb low-density sprawl, and impose more restrictions and charges on car use.
";1
"survey-based evaluation of bike-to-work
day in the san francisco bay area";"Bike to Work Day (BTWD) is an annual event, held in May of each year, that promotes bicycle commuting through outreach, education, celebratory events, and incentives such as free food, drink, or bike repairs for those who ride to work. Though the majority of large U.S. cities host BTWD events, few evaluations have been conducted to gauge BTWD’s effectiveness in increasing bicycle mode shift, reducing vehicle miles traveled, and reducing pollution. The available research covers mode shift impacts in a few cities, and does not quantify vehicle miles of travel (VMT) reductions or other co-benefits. This paper describes a survey-based evaluation of the San Francisco Bay Area’s 2014 BTWD, which drew over 66,000 participants. Intercept surveys were collected from over 1,600 BTWD participants to assess the impacts of BTWD on the day of the event, and 669 of these participants responded to a follow-up survey three months later that was used to gauge long-term changes in travel behavior due to BTWD. 22 percent of BTWD participants say that they would not have ridden their bikes if not for BTWD on the day of the event. Over the long term, four percent of participants regularly started cycling to work more frequently following BTWD, including 1.2 percent of participants who were new to bike commuting altogether, and said that the event was very or somewhat important in increasing the amount that they ride. The authors estimate that BTWD reduced regional VMT by 182,000 on the day of the event and by over 3 million annually.

";1
"ride this way? the impact of a bicycle
skills training intervention on bicycle
uptake";"Cities seek strategies to encourage more people to bicycle for active transport. One strategy that has shown some promise is bicycle skills training courses, but studies are few and rarely assess longer-term changes. The authors collaborated with a bicycle advocacy organization delivering adult bicycle courses in Metro Vancouver to assess the impact that courses have on bicycling uptake. This paper compares changes in overall cycling, as well as transportation (commuting, errands) and leisure bicycling over time (baseline-3 months) between course participants and a comparison group. The authors collected data in 2016 and 2017 through online questionnaires administered at baseline, 1, and 3 months post-course and used generalized linear mixed models to assess changes in bicycling between intervention and comparison groups. The authors enrolled 135 course and 43 comparison participants. Course participants increased overall bicycling at 1 month but this was not sustained. By contrast, comparison participants’ bicycling decreased. Adjusted models reflected different trajectories for course and comparison participants for commuting (RR= 1.22, 95% CI: 1.00, 1.48) and leisure bicycling (RR= 1.22, 95% CI: 1.02, 1.47). Men had higher rates of using bicycles for commuting and leisure, and participants living in the city of Vancouver had higher rates for commuting. Bicycle courses address individual-level barriers to bicycling, such as skills, knowledge, and confidence. The authors' results suggest courses can encourage modest increases in bicycling, but sustained increases could be difficult. Bicycle courses should be combined with environmental and other means of support to achieve greater impact on bicycling.

";1
"children’s bicycling to after-school
activities: the case of the davis ayso
bike-to-soccer program";"In recent years, transportation planners have devoted more attention to the goal of increasing the non-motorized trips of children and adults. Non-motorized trips are considered important as a mean of reducing motorized trips as well increasing physical activity. Indeed, lack of physical activity has been identified as a major public health problem for both adults and younger people (Center of Disease control (CDC), 2005; Sallis, et al., 2004). A CDC report from 2002, for example, reports that about a third of the teenagers are not physically active enough (CDC, 2002). The lack of physical activity among children is, in part, associated with travel behavior and urban form (Ewing et al, 2003, Handy et al, 2002; Martin-Diener et al, 2005): children living in auto-oriented areas in the U.S. use walking and biking as modes of transportation to nearby destinations to a limited extent and less than in the past (Sallis et al, 1993; Sallis et al 2000). Their high level of auto use is, of course, tied to a high level of auto use among their parents, particularly their mothers (McMillan, 2007).

For children, much discussion has focused on the journey to school, though researchers are now addressing non-school travel as well. According to McDonald (2006), who studied children’s travel patterns based on the National Household Travel Survey, only 12% of the trips to sport activities are made by bike. The NHTS data do not allow a full estimate of non-motorized trips taken alone, versus trips taken with a parent, but it is reasonable to assume that use of bikes is even lower when parents are involved in the trip. Copperman and Bhat (2007) analyzed the determinants of children’s weekend physical activity participation using data from the 2000 Bay Area travel survey. Their models correlate socio-demographic and land use variables with active and passive travel (i.e. non-motorized and motorized) and with physically active and passive activities. Their findings suggest that children (ages 5 to 17) rarely use non-motorized modes to get to places where they engage in physical activities, and that individual and household demographics, along with environmental factors, affect the level of physical activity.

One place where children might be expected to use non-motorized modes to get to after-school activities is Davis, CA, well-known as a bicycle-friendly community. In Fall 2006, the Davis chapter of the American Youth Soccer Organization (Davis AYSO) set out to increase bicycling to soccer games through a two-pronged approach. First, the organization adopted a new approach to scheduling games, spreading them to fields throughout Davis rather than scheduling as many games as possible at three centralized fields. For most games, at least one team (and often both) was scheduled for a field within their neighborhood. In addition, Davis AYSO undertook a promotional program to encourage families to bike to games, including distribution of “Bike to AYSO” bike stickers, the creation of a special web site that included a Davis Bike Map, and e-mail announcements to almost all families about the “Bike to AYSO” effort. To evaluate the effectiveness of this program in encouraging players and their families to bike more frequently, Davis AYSO worked with researchers at the University of California, Davis. This report describes the methods used in that effort and summarizes the results.";1
"effects of a cycling intervention on
adolescents cycling skills";"Background
Over the last two decades, bicycling as a mode for transportation has declined by 64% among 16- to 20-year-old adolescents in Switzerland, the largest decrease of any age group. The aim of this study was to evaluate the short-term effects of a bicycle training on adolescents’ cycling skills. In addition, the study investigated whether there is a relationship between school distance, mode of transport, bicycle use and cycling skills.
Methods
77 adolescents (Mean age = 17.1 ± 0.8 years) were assigned to the intervention group (n = 48) or control group (n = 29). In both groups, a validated practical cycling skills test was performed at baseline and 2 weeks after baseline. The intervention group performed 2 h of bicycle training one week after the baseline test. A questionnaire was used to determine bicycle use, mode of transportation and distance to school. Due to Covid-19 school closures, only an online questionnaire was administered at 6-month follow-up. To analyze the effects of cycling training on cycling skills, multiple linear regression models adjusted for age, gender, and baseline cycling skills were applied.
Results
Compared to the control group, the total cycling skills increased in the intervention group (β = 4.54, [0.89 : 8.19], p = 0.02), as well as riding over a wooden plank with a ladder profile (β = 1.14, [0.08 : 2.19], p = 0.04) and controlled riding over a step (β = 1.48, [0.63 : 2.33], p ≤ 0.001). An association was found between bicycle use, mode of transportation, and cycling skills (p < 0.05). In contrast, no association could be found for school distance.
Conclusion
Cycling training improved adolescents’ cycling skills in the short term. Cycling skills correlated with bicycle use and mode of transportation.";1
"urban land redevelopment impact
evaluation on non-motorized traffic: a
case study in shanghai";"Urban land redevelopment is an important component of city evolution and has a great impact on transportation systems. The current traffic impact analysis (TIA) is lack of a comprehensive component for non-motorized transportation under redevelopment, which is especially critical in China where non-motorized mode share is extremely high. For a better guidance of land redevelopment and non-motorized transportation planning, it is necessary to evaluate the impact of redevelopment on non-motorized traffic before the project is approved and the construction starts. The objective of this study is to fill the gap in the transportation impact analysis (TIA) system and promote the sustainable development of the non-motorized transportation. In this paper, the authors emphasize the importance of the urban redevelopment impact evaluation on non-motorized traffic, and focus on providing an evaluation framework for the impact analysis.They use the systematic analysis method to organize the procedures and objects of r
";1
county road 20 one-way cycle track;"Working together with local municipalities and community groups, the County of Essex has spearheaded a project to improve conditions for pedestrians and cyclists in this rural Southwestern Ontario region to help more people recognize active transportation as a way to move from place to place. The County Wide Active Transportation Study (CWATS) focuses on reducing dependence on single-occupant vehicles by encouraging modal integration and accessibility within the transportation network. The One-Way Cycle Track project involves the development of a well-designed, purpose-built facility and has created opportunities for safe, efficient and convenient cycling and walking facilities where it was needed most. The construction of a 6km raised cycle track on both sides of County Road 20, through the municipality of Leamington and Town of Kingsville was completed in 2019. This cycle track is a bicycle facility adjacent to and vertically separated from the roadway and provides facilities for cyclists traveling in each direction to ensure continuity and connectivity. It is designated for exclusive use by cyclists and is distinct from the sidewalk. The facility demonstrates how to apply the OTM Book 18 facility selection process and understanding specific user needs, e.g. children and migrant workers. The project was delivered through an innovating funding partnership between an upper and lower-tier municipality. This is just one segment of an approx. 800km active network. The County established an Active Transportation Steering Committee and learned that success depends on effective communication and coordination between partners and stakeholders. The County owes much of its success to the strong support Council has given to sustainable planning and transportation initiatives. The CWATS program promotes healthy, active and sustainable lifestyles while recognizing the importance connected trails play in supporting tourism and residential development. This innovative project demonstrates social, economic and environmental benefits through the availability of safe infrastructure accommodating utilitarian to recreational users. Additionally, this improved facility encourages continued growth for our cycling tourism industry along Essex County’s wine route which in turn contributes to a healthy, livable community through integrated planning. This project implementation and success is transferable to other municipalities by showcasing successes of collaboration.

";1
"a longitudinal study of bike infrastructure
impact on bikeshare system performance";The sustainability of bikesharing systems depends on the bicycle network connectivity and accessibility. However, studies of bike lane infrastructure investment impacts on bikesharing ridership have been limited to station-level ridership to support bikeshare operators’ resource allocation decisions. City planning agencies also need to forecast and analyze bikeshare demand in order to make investment decisions of bike facilities over time. To measure the marginal effect of building bike lanes on bikeshare demand at a network-wide level over time, an autoregressive conditional heteroscedasticity (ARCH) model with autoregressive (AR) disturbance is proposed to capture system-wide bike ridership. The model is applied to investigate the relationship between bikeshare average daily trip counts and the total length of bike lanes in New York City (NYC) regardless of specific locations. Our results show that the installation of one additional mile of bike lanes in NYC led to an average increase of 102 bikesharing daily trips. Spatial heterogeneity is addressed through two market segments by borough (Manhattan vs. Non-Manhattan), which indicates that the improvement of bike lanes had a significant impact on bikesharing ridership in Manhattan, generating 285 more trips with one mile of bike lane built in Manhattan, but was not as effective outside of Manhattan. In addition, model results show that there were 135 and 13 more trips generated per day when one more bikesharing sharing station was added in Manhattan and Non-Manhattan, respectively. The marginal effect could vary due to the specific implemented location of a bike lane. We demonstrate that this model, as opposed to the previous studies in the literature developed at the station-level, can provide new insights into system-level causality and temporal lag characteristics. When considering whether a city agency should install a set of bike lanes immediately or to stage them over multiple weeks, the “discount rate” for ridership benefits is estimated via a proposed model for different types of investment. The results of investment scenario analysis show that there is a higher effective “discount rate” for ridership benefits from front-loading all of the investment.;1
"encouraging active school travel by
making it ""cool"": a quasi-experimental
study using boltage";"The research on children’s school travel has studied the impacts of the built environment on children walking or biking to school. This three-year
research project contributes to current literature by investigating the role played by socio-psychological factors in affecting the environment -
travel behavior relationship. By evaluating intervention programs implemented in two elementary and two middle schools involving the use of a
novel device called “Boltage,” this project conducted a quasi-experimental study to examine how peer influences, incentives and perceived social
acceptance have affected the students’ active school travel. This project used data collected through Boltage scanners, focus groups and surveys to
identify attitudinal and behavioral changes following the implementation of Boltage programs, and compare the changes reported from eight other
comparable schools where no such interventions were applied.
Analysis findings provide evidence for the effectiveness of the Boltage programs in improving the rates of children walking or biking to school. In
addition to school travel distance, parents’ attitudes and their perceived social approval of active school travel played a critical role in determining
the likelihood of a student walking or biking to school. Schools that have received Boltage treatment witnessed improvements in parents’ attitudes
over the study period. The perceived social approval, however, did not appear to have been affected by the implementation of Boltage programs,
although parents perceived stronger school support for active school travel in light of the Boltage programs. Younger students tended to respond
more positively to the incentives and reported peer influences on their school travel.
Knowledge gained from this project can inform professionals and advocates who hope to develop effective intervention programs for active
school travel in three ways: 1. Interventions should target students living within a short distance to schools (less than one mile or so) and parents
who exhibit favorable attitudes; 2. Focus on the socializing benefits afforded by children walking or biking to school together when promoting
active school travel and create socializing opportunities in the intervention programs; and 3. Incentive-based interventions have greater effects on
younger children, and the design of an intervention program should focus on helping children and parents identify suitable approaches to active
school travel";1
"'nudging' active travel: a framework for
behavioral interventions using mobile
technology";"Advances in behavioral economics have begun to provide a new toolkit of theories, models, and empirical methods for designing and evaluating policy. While many of these techniques are highly relevant to behavioral problems that planners encounter when consulting with the public, crafting policy and regulations, and promoting sustainable patterns of behavior, it has received only limited attention in the planning and transportation literature. The authors review this literature and present a framework for generating, implementing, and testing the results of different interventions designed to affect users’ travel behavior by delivering behavioral feedback via an activity-tracking smartphone application. The results of this promotional strategy are tested in two pilot projects among university students and “Bike to Work Week” participants in British Columbia and Minnesota. Implications for program evaluation and funding and future directions for research on behavioral interventions are discussed.

";1
"city of york council cost/benefit matrix for
cycling infrastructure";"1. Foreword
A report commissioned by Cycling England and reported to them by SQW Consulting
in December 2008, included a matrix which showed the number of additional cyclists
which were needed in order to justify a given spend on a cycling infrastructure
project.
Several variables gave estimated annual monetary values for each additional cyclist
(cycling regularly for one year) including: health benefits; value of loss of life; NHS
savings; productivity gains; pollution; congestion; and ambience. Because
calculation is possible of the economic benefit of each cyclist, it is also possible to
use these combined values to show the number of new cyclists required to ensure
that an investment will at least break-even over the full life of the cycle facility
(assumed to be 30 years). Because facilities are varied in type and location, the
matrix also gave values for four different types: urban on-road; urban off-road, rural
on-road; and rural off-road cycle facilities (Table 1).
In this way, and through before and after monitoring of new cycle facilities, we can
estimate whether a scheme has been good value for money. It must be noted
however that this is difficult to quantify as usage tends to build up steadily (and
“accelerate”) from an initial boost and therefore year-on-year growth in cyclist
numbers is not usually uniform (see Malton Road example overleaf).";1
bicycle-related industry growth in portland;;1
"property value/desirability effects of bike
paths adjacent to residential areas";"Studies and surveys in other parts of the country have shown that bicycle paths (trails,
greenways) can contribute to areas where they are established by providing recreation,
transportation, a sense of community, increased property values, and lower crime. On the
other hand, in some cases with many new initiatives for the creation of walking and
biking paths there is resistance by members of the community who worry that property
values may be negatively impacted, that there will be loss of privacy, and the potential
for more crime in their neighborhood. Success of bike and walking trail projects depends
often on planners understanding and communicating what is known about the impacts of
bike and walk ways in a community.
This project examined the literature and presents what is known concerning the impacts
on property values with the introduction of bicycle paths and also presents some
information about crime in relation to bicycle and pedestrian paths. In addition a
statistical model was developed in this project using Delaware property data to examine
the impact of bicycle paths on nearby housing.
In addition to being used by bicycles, “bike paths” are typically designated for use also
by pedestrians, skaters, and other non-motorized uses and are typically referred to as
paths, trails, or greenways. Bike lanes addressed in this project were for the most part,
dedicated paths rather than portions of the public roadway simply striped or designated as
a suggested bike way due to extra road width or shoulders. There is no information to
suggest that a bike path designated as such by only the presence of a shoulder in the road
would impact property values in Delaware as they are for the most part indistinguishable
from the road corridor itself and are more a feature of the existing road rather than the
neighboring properties. ";1
"school travel planning benefit-cost report
for toronto & wellington-dufferin-guelph";"CONTEXT
This School Travel Planning (STP) project serves as the second Benefit-Cost Analysis (BCA) conducted in Canada.
The first BCA was performed collaboratively with Green Communities Canada, Metrolinx and the University of
Toronto, showing STP to be ‘a relatively cost-effective intervention’ (ratio= 1.8) among 19 projects in Ontario
(Metrolinx et al., 2014). In collaboration with the University of Toronto, this BCA extends the previous in four
notable ways.
First, projects costs were recorded on an on-going basis relative to the retrospective-recall approach from the
first BCA that likely contained issues around recall biases. Second, the benefits measured included benefits from
kilometres cycled, in addition to the increases in kilometres walked and reductions in kilometres driven as
included initially. Third, the benefits and costs were collected for Year 1 and subsequently projected for a
hypothetical 3-year and 5-year STP implementation period. Based on current STP practices in Canada, the first 3-
5 years is a more realistic and applicable time period to discuss the programs cost-effectiveness relative to the
hypothetical 11-year duration used in the original BCA. Fourth, results are provided at the aggregate,
community, and school levels. This breakdown in analyses can help shed light on the differences in travel mode
share, benefits, and costs between urban and rural-based schools.
Our collaborators at the University of Toronto – who have focused on STP evaluation in Canada (Buliung et al.,
2011; Mammen et al., 2013; Mammen et al., 2014; Mammen et al., 2015a; Mammen et al., 2015b) – were
contracted to conduct the analysis for this work. This BCA examined the costs and benefits of 13 STP projects in
Ontario (Table 1) during 2014-2015, spanning two communities: Toronto (n=8) and Wellington-Dufferin-Guelph
(WDG; n=5). The following section outlines the methodology employed for this cost-effectiveness study. ";1
"evaluating active travel: decision-making
for the sustainable city";"It is now widely recognized that 'active travel' — the collective term for walking and cycling — confers a multitude of individual and societal benefits that are qualitatively different from those generated by motorized transport. Regular pedestrians and cyclists can expect to enjoy potential health benefits, while modal shift to active travel can lead to considerable environmental improvements at a broad range of spatial scales. However, given the need to ensure high-quality decision-making in the transport sector, it is paramount that contemporary evaluation practices keep pace with the shifting nature of policies that explicitly encourage uptake of walking and cycling. Drawing on a numerical example, this paper examines the extent to which the United Kingdom Department for Transport's evaluation framework — NATA — is sufficiently capable of determining the likely value of investments in active travel, and hence whether there is confidence that policy-makers are adequately placed to make informed choices between alternative investments. It is argued that while the overarching logic to evaluating active travel remains relatively sound, changes must be made to the framework if a genuine transition to sustainable urban mobility is to occur.

";1
complete streets in california;"This article aims to present a framework for practitioners to consider when evaluating complete streets projects, based on a case study in the San Francisco Bay Area in California, USA. The authors will discuss why evaluation is important, where and how evaluation can be performed, the types of metrics that can be used, and sample results chosen to address the following categories: vehicle flow, bicycle activity and environment, and pedestrian safety. The goal is to emphasize the importance of consistent data collection methods as an industry and to present unique methods for evaluating safety in the near term.

";1
health impacts of bike-sharing systems in the u.s.;"Background
Bike-sharing systems (BSS) are short-term bike rentals that can be borrowed from one location and retired to another at the conclusion of the trip. In 2019, 109,589 BSS trips were made each day in the U.S, and half of those in New York City (NYC).
Aim
This study aims to quantify the health risks and benefits of BSS in the U.S. and NYC.
Methods
This study followed a quantitative health impact assessment approach to estimate the risks and benefits of BSS. Specifically, we quantified the health impacts of physical activity, air pollution, and traffic incidents. We analyzed all the trips made by BSS in the U.S. and NYC. Input data on transport, traffic safety, air quality, and physical activity were collated from public records and scientific publications. We modeled the health impacts on adult users related to mortality, disease incidence, disability-adjusted life years (DALYs), and health economic impacts (related to morbidity and mortality).
Results
We estimated that in the U.S. BSS trips resulted in an annual reduction of 4.7 premature deaths, 737 DALYs, and 36 million $USD in health economic impacts, mainly derived from the increment in physical activity. In NYC, we estimated an annual reduction of 2 premature deaths, 355 DALYs, and 15 million $USD in health economic impacts.
Conclusion
BSS in the U.S. and NYC provide a health benefit for bicyclists. Improvements in air quality and traffic safety across U.S. cities will maximize the health benefits of BSS.";1
making the case for improved bicycling infrastructure: an analysis of the final mile bicycle infrastructure program;"Executive Summary
Cycling infrastructure can help broaden access to mobility by offering residents a low-cost, reliable,
and sustainable means of transportation. Yet cities in the United States have thus far failed to
systematically expand their cycling networks in a fashion that is safe for users and encourages a mode
shift out of cars and into this more equitable and environmentally friendly transport mode. To help
stimulate further investment in cycling infrastructure, between 2018 and 2021 the Final Mile program
funded communications campaigns, advocacy efforts, and engineering consulting in five US cities. The
program set out to test whether philanthropic assistance for municipal biking projects could accelerate
city investments in communities where local leaders were already supportive of cycling infrastructure.
To examine the effectiveness of the Final Mile program, we conducted interviews with community
stakeholders and collected data in each of the funded cities—Austin, Denver, New Orleans, Pittsburgh,
and Providence. We also assembled information about what similar cities elsewhere in the country
had done. We found that the program’s support for continuous pressure on local officials—including
by convening frequent meetings between city staff and cycling advocates, funding advertising, and
identifying quantified investment goals—helped encourage all the funded cities to significantly expand
their respective protected cycling infrastructure. They did so far more quickly than comparable cities
elsewhere in the United States. Though gaps remain in achieving the complete bike networks the
cities ultimately hope to build, the program could be a model for advocates looking to inspire local
governments to follow through with their policy goals. This report summarizes our conclusions,
identifying the successes and challenges faced by this program.
The Final Mile program was premised on three assumptions necessary to support the rollout of
improved cycling infrastructure. These assumptions were reflected in program design and
implementation:
◼ Municipalities need to set ambitious goals for rapidly implementing improvements that
prioritize equity. Final Mile worked to identify cities that were willing to set ambitious,
quantified goals for cycling infrastructure rollout that would help ensure citywide access to
safe, comfortable facilities for all.
◼ In the long term, those goals must be backed by continuous political commitment, supported
by leaders in the public and nonprofit sectors. Final Mile funded a permanent setting for
dialogue between public and nonprofit groups in each funded city, with the goals of reducing
conflict, identifying the most equitable investments possible, and building momentum even in
E X E C U T I V E S U M M A R Y v i i
the face of project opposition. The program also supported a communications campaign
intended to increase resident support for investment in cycling. In so doing, the program was
designed to serve as a pressure mechanism that continuously reinforces programmatic goals.
◼ Municipalities must have the capacity to undertake programs. To this end, Final Mile
provided funding for engineering technical assistance of new cycling infrastructure in several
communities.
Our key findings are as follows:
◼ There is considerable interest in expanding cycling infrastructure, and municipalities are the
right jurisdictions upon which to focus pressure for doing so. City governments control most
streets and have the ability to reorient street space away from cars and toward bicyclists and
pedestrians.
◼ Setting a long-term cycling infrastructure goal helped clarify what each city should
accomplish. By committing to invest in a certain number of miles of cycling improvements,
city staff felt they had a clear goal to follow. This informed how they prioritized their choices.
◼ Continuous pressure on city staff to accomplish goals was an effective way to encourage
construction, but it also caused stress. The Final Mile program continuously emphasized to
city staff the importance of achieving the agreed-upon mileage goal. This pressure helped
move projects forward but also contributed to some cities’ staff feeling overwhelmed.
◼ Engineering support filled a key gap in local capacity. Cities that received technical assistance
increased their planning, engineering, and construction work faster than would otherwise be
possible. Many cities face chronic shortages in staffing, so this assistance was crucial.
◼ The effort to permanently link local nonprofits to the public sector had limitations. Final Mile
project managers successfully organized frequent meetings between city and nonprofit staff,
which increased information transfer between these groups. But nonprofits still often felt
ignored in decisionmaking. In response, nonprofits conducted independent public campaigns
in favor of cycling projects and played an “inside–outside” role, continuing to pressure city
staff using tactics from outside the Final Mile program.
◼ Communications campaigns may have raised general public support for cycling investments,
but in many cases failed to dilute neighborhood opposition to investments. Interviewees
noted that public campaigns conducted by the Final Mile program were largely visible and
noticed by residents and political officials. The program was not intentionally designed to
v i i i E X E C U T I V E S U M M A R Y
reduce a “not in my backyard” (NIMBY) kind of opposition, but rather to support the creation
of a larger group of supportive stakeholders. There is some evidence that these campaigns
were associated with increasingly positive views about biking. But the larger group of pro-bike
voices failed to reduce the localized neighborhood opposition to certain projects, which
imperiled construction in places where city councilors agreed with opponents. Directly
addressing NIMBY sentiment may remain a necessary element of such work.
◼ The funded cities significantly expanded cycling infrastructure, meeting their ambitious
program goals, and did so at a significantly faster rate than comparison cities. The Final Mile
cities considerably expanded the availability of improved cycling networks. Before the
program, investment in secure cycling infrastructure in Final Mile cities was statistically
indistinguishable from peer cities elsewhere. But after program commencement, the median
Final Mile city added protected bike lanes at more than three times the per-capita rate as the
average comparable city.
◼ Cities still need to complete their full investment plans—particularly in terms of meeting
equity goals. Also, much of the new infrastructure was not built at the highest possible level
of cycling safety. Improvements did not ultimately produce systems that ensured access to
people of different racial and ethnic backgrounds more effectively than comparison cities.
Considerable work also remains toward meeting their proposed citywide cycling-plan goals.
The Final Mile program offers a unique model of philanthropic investment designed to shape
municipal policy. In the five funded cities, it helped inform growing interest and support for cycling
while aiding municipal leaders in shaping their goals. The program thus contributed to national
momentum in favor of improved cycling infrastructure.";1
